topic,coefficient,abs_coefficient,odds_ratio
topic_3,11.743072969636984,11.743072969636984,125878.56729972687
topic_17,-9.493637722659562,9.493637722659562,7.532957615446968e-05
topic_15,-9.493637722392462,9.493637722392462,7.532957617459023e-05
topic_14,-9.04183652038631,9.04183652038631,0.00011835327853189699
topic_18,-9.041836520327442,9.041836520327442,0.00011835327853886427
topic_8,3.285361307810373,3.285361307810373,26.71863622307679
topic_9,3.2851561419181565,3.2851561419181565,26.71315503253317
topic_4,2.449492390226339,2.449492390226339,11.582465853886776
topic_5,2.4472880984990453,2.4472880984990453,11.556962838592595
topic_16,2.4472880984461995,2.4472880984461995,11.556962837981859
topic_12,2.4472880984296084,2.4472880984296084,11.556962837790115
topic_11,1.5204922200826065,1.5204922200826065,4.57447629017705
topic_6,1.3497154447610984,1.3497154447610984,3.85632803620985
topic_10,1.3497154446865705,1.3497154446865705,3.856328035922446
topic_1,1.3458255634693927,1.3458255634693927,3.8413565155242844
topic_0,1.1460689338117482,1.1460689338117482,3.1458022146041635
topic_2,1.014396819550005,1.014396819550005,2.7576995051846205
topic_13,-0.6084287989976185,0.6084287989976185,0.5442052535337276
topic_7,0.25028785928693353,0.25028785928693353,1.284395088532778
topic_19,0.25028785926925173,0.25028785926925173,1.2843950885100675
