PID,Image,Embedding
8,4o_MB,"-0.863311767578125,0.16762816905975342,-1.5022380352020264,1.562750220298767,2.319338798522949,-2.3338711261749268,0.0025659091770648956,-1.6907931566238403,0.3211393654346466,0.4309728443622589,-1.119498610496521,-0.9416677951812744,0.4474249482154846,-0.8009251356124878,0.4081801772117615,-0.03170647472143173,0.60166335105896,-0.3207775354385376,-2.4415595531463623,0.014431796036660671,0.007124386727809906,0.26851385831832886,0.8056375980377197,1.1274257898330688,-0.422353059053421,1.0544705390930176,0.19573397934436798,1.5155868530273438,1.3833247423171997,1.6199984550476074,0.328739196062088,-0.1517021507024765,-0.5617604851722717,-1.1136813163757324,-0.7357352375984192,0.21100781857967377,-1.4890774488449097,1.08925199508667,0.16143952310085297,-0.5107595920562744,-0.3209834694862366,-0.3175711929798126,0.2767210304737091,1.6626654863357544,1.6355091333389282,-0.6184572577476501,1.4218989610671997,-0.7806305885314941,-0.8161588311195374,0.0993473082780838,-1.2369035482406616,-0.07403380423784256,-1.922296404838562,0.05491899698972702,-0.9497539401054382,0.3781948983669281,0.1601686179637909,0.18459661304950714,0.3025074899196625,0.5194121599197388,-1.9228724241256714,-1.2546406984329224,-0.22539272904396057,-1.9854516983032227,-1.62906014919281,1.44145667552948,-0.8117481470108032,1.3772069215774536,0.5685738325119019,-0.30392420291900635,-1.2521275281906128,1.4946887493133545,-0.21837909519672394,0.28202134370803833,-2.5377745628356934,0.38701117038726807,-0.4805007874965668,-2.1570215225219727,-0.6083810329437256,-1.3010457754135132,-0.3168874979019165,-0.1671321541070938,0.8041083216667175,2.508070707321167,-0.6775600910186768,0.3657453954219818,1.0864039659500122,-1.0247732400894165,-0.0796988233923912,-0.8911649584770203,2.087529420852661,-0.3382343351840973,0.6428875923156738,-0.47683611512184143,-1.6119521856307983,-0.2631370723247528,-0.7962841391563416,-0.22617162764072418,-1.830580234527588,-1.8754209280014038,-0.8359219431877136,0.13628453016281128,-0.25775381922721863,-1.6124815940856934,0.08255349844694138,-1.2380093336105347,-0.43281030654907227,-1.7894090414047241,0.7488151788711548,2.2323694229125977,-0.25370341539382935,0.33885008096694946,0.7005778551101685,1.4164248704910278,0.9657662510871887,-0.2824088931083679,-0.8750337362289429,-0.9353300333023071,-0.3192836046218872,0.39956140518188477,1.529241919517517,2.337512254714966,0.4934854507446289,-0.4927695393562317,-0.632129967212677,-1.1545292139053345,1.6596853733062744,-1.1287431716918945"
10,4o_DA,"-1.5497933626174927,-0.619125247001648,0.6528801321983337,1.219982385635376,1.5425461530685425,0.01843683235347271,-0.8369585275650024,-1.1846357583999634,-0.26330268383026123,0.22508877515792847,-1.412624478340149,-1.1250545978546143,-1.1575812101364136,-0.6123447418212891,-0.02380920946598053,-0.23702272772789001,1.8023006916046143,0.2570027709007263,-0.706451416015625,-0.5743903517723083,1.2700048685073853,-0.7131872177124023,-0.3515617251396179,0.6218373775482178,-0.8812119960784912,-1.040042519569397,-0.7394917011260986,0.47944211959838867,0.846734881401062,0.9976292848587036,0.6950798034667969,-0.5197296738624573,-0.8289768695831299,-0.948477566242218,0.5415964722633362,0.8575619459152222,-1.8663084506988525,0.7010599374771118,0.03576012700796127,0.761510968208313,-0.21280845999717712,-0.31409910321235657,0.4252171218395233,2.554197072982788,0.4427328109741211,0.027982136234641075,0.7895204424858093,0.8990719318389893,-1.1828564405441284,0.32714226841926575,-1.7935068607330322,0.8040607571601868,-1.1794544458389282,2.0883278846740723,-0.14953811466693878,1.0873280763626099,0.024444863200187683,-1.5764650106430054,-1.5849287509918213,0.6190032362937927,-1.7845962047576904,-1.7578625679016113,1.0658549070358276,-1.1814734935760498,-1.2666540145874023,2.0975165367126465,-0.24389266967773438,1.9525357484817505,-0.1499154269695282,1.0529755353927612,-1.2555439472198486,1.3726590871810913,-0.5457594394683838,-0.747128427028656,-0.9103348851203918,0.6095778346061707,-0.7846330404281616,-1.7086440324783325,-2.3639895915985107,1.421474575996399,-0.1600029468536377,-0.8157321214675903,0.9634424448013306,2.143859624862671,0.7133094668388367,0.7095428705215454,0.2849370241165161,-1.2732524871826172,-0.6248583793640137,-0.1780344694852829,2.225785493850708,-0.35068726539611816,0.457837849855423,-0.05173654854297638,-1.5376113653182983,0.34179285168647766,-0.5256201028823853,-0.5805845856666565,-0.7356544137001038,-0.5311533808708191,-0.859637975692749,0.8012053370475769,-0.40801143646240234,0.42645034193992615,0.428810179233551,-2.1116793155670166,-2.007016181945801,-0.42445531487464905,1.2174255847930908,0.4266391098499298,-0.1793414205312729,-1.2755675315856934,0.4541802704334259,1.3433294296264648,-1.1745612621307373,-1.8397297859191895,0.24564895033836365,0.4904564321041107,-0.5234379172325134,-1.5291298627853394,1.4971630573272705,0.9068483114242554,0.9341013431549072,-1.8247425556182861,-0.6233699917793274,-0.7637301087379456,0.13919778168201447,0.31629419326782227"
10,4o_DB,"-1.2753801345825195,0.2754969894886017,-0.5638548135757446,2.5727627277374268,2.2992589473724365,-1.4701564311981201,-0.4722253382205963,-0.5325584411621094,-0.6106382608413696,0.004356980323791504,-0.510576069355011,-1.0619558095932007,-0.8587971329689026,0.028024770319461823,-0.28341376781463623,0.05052202194929123,0.38103556632995605,-0.5867037177085876,-2.019270896911621,0.22469240427017212,-0.018204577267169952,-0.04648180678486824,-0.002155713737010956,-0.6594184637069702,-1.0816558599472046,-1.1068066358566284,-0.19658717513084412,2.1143345832824707,-0.014918938279151917,1.505080223083496,-0.8470969200134277,0.08127488195896149,-1.126396894454956,-1.6843907833099365,-0.13615861535072327,1.5285171270370483,-1.3194950819015503,0.4182431995868683,0.2474110871553421,-0.1310710459947586,-0.2973768413066864,0.32960182428359985,-0.42225149273872375,0.6967321038246155,1.0359857082366943,-0.3585999011993408,0.3584778308868408,0.654831051826477,-1.7269560098648071,1.1967860460281372,-1.5354807376861572,0.42973989248275757,-0.19012877345085144,1.944349765777588,-1.0565944910049438,0.6208944320678711,-0.7331790924072266,-0.5691960453987122,-0.40706464648246765,0.35209140181541443,-1.9709454774856567,-0.8633219003677368,1.1158092021942139,-1.3378701210021973,-1.3450628519058228,1.1605554819107056,-0.7096238732337952,1.7835075855255127,0.23066496849060059,0.9245229959487915,-0.9764914512634277,1.4034461975097656,-1.009181261062622,0.781171977519989,-1.9144715070724487,0.8553709387779236,0.28646254539489746,-0.31989356875419617,-0.3751358687877655,0.4992128610610962,0.4349747598171234,-1.1602532863616943,0.1457478553056717,1.9793660640716553,0.2864384055137634,0.09148357808589935,1.587357521057129,-1.3657389879226685,-0.7935214042663574,-1.1181795597076416,2.196364402770996,0.4248296916484833,0.5999038219451904,0.1684691309928894,-2.2177443504333496,-0.041853293776512146,-0.37477728724479675,-1.2325093746185303,-1.3959813117980957,-0.3374103605747223,-2.1003262996673584,1.3264483213424683,-0.34994009137153625,-1.5027601718902588,1.0807276964187622,-2.048658847808838,-0.6331255435943604,-1.8095345497131348,0.30873483419418335,2.288644313812256,1.1358169317245483,-0.779304027557373,0.23382793366909027,2.0143513679504395,-0.45726630091667175,0.037524305284023285,-0.5927784442901611,0.5726093053817749,-1.4384968280792236,0.22294200956821442,-0.008169092237949371,1.2961596250534058,0.8468044400215149,-0.9934809803962708,-0.2761973738670349,-0.007105395197868347,0.7382442951202393,0.2658200263977051"
10,4o_MA,"-1.3096535205841064,0.29607492685317993,0.08530929684638977,1.9314570426940918,1.7738089561462402,-1.0948864221572876,0.07216615974903107,-1.5788525342941284,-0.31333720684051514,0.02509252354502678,-0.16651424765586853,-0.876402735710144,-0.39249086380004883,-0.07682124525308609,0.7767496109008789,1.2962745428085327,1.0670170783996582,-0.09287373721599579,-1.54207181930542,-0.04264593869447708,-0.7228256464004517,-0.48490849137306213,0.05077165365219116,-0.6313880085945129,-1.5859591960906982,0.26950085163116455,-0.21635198593139648,0.6907243728637695,-0.8196797966957092,1.5994595289230347,-0.17341533303260803,-0.28449273109436035,-0.8014812469482422,-1.0970511436462402,-0.11688116937875748,2.6829309463500977,-0.4969319999217987,1.042885422706604,0.15252378582954407,1.1220742464065552,1.1057950258255005,0.6977168917655945,0.6027452349662781,1.328351616859436,0.5854480266571045,-0.29011616110801697,0.8993555307388306,0.1311832070350647,-1.5020214319229126,0.7966959476470947,-0.5117455124855042,0.12202116847038269,-1.4012701511383057,1.8794804811477661,-0.20105668902397156,-0.503501832485199,-0.831497311592102,0.3288213610649109,0.2748064398765564,-0.4163108766078949,-0.9235405325889587,-1.9414454698562622,0.9205628633499146,-1.4166593551635742,-0.7195127010345459,0.7629255056381226,-0.9779555797576904,2.0455877780914307,-0.28124919533729553,1.5474050045013428,-1.0967164039611816,0.8966866731643677,0.3165605366230011,-0.6078148484230042,-1.0512949228286743,1.289344310760498,-0.45255815982818604,-0.25495854020118713,-1.4265424013137817,0.0704084187746048,-0.3071921765804291,-0.7198175191879272,-0.2551824152469635,2.3208847045898438,-1.3758208751678467,0.5400222539901733,1.1822857856750488,-0.7567619681358337,-1.16144597530365,-0.7271382212638855,2.071026086807251,-0.3765791058540344,1.9033150672912598,-1.0593440532684326,-2.4784531593322754,-0.02946455031633377,-0.07751910388469696,-0.49839067459106445,-1.9380261898040771,0.3665923774242401,-1.7807976007461548,1.302117109298706,-1.6622462272644043,-1.3922967910766602,0.8427618741989136,-2.265636682510376,-1.5408483743667603,-0.7345494031906128,0.4859808087348938,2.721458673477173,0.025516711175441742,0.2192559689283371,1.4727321863174438,1.25542414188385,-0.6531783938407898,-0.8319511413574219,-1.406675100326538,-1.2569135427474976,-0.45349541306495667,-0.6003300547599792,-0.4484326243400574,-0.1754252314567566,1.4597207307815552,-1.5896532535552979,0.3161645531654358,-1.076676607131958,1.378913402557373,1.09247887134552"
10,4o_MB,"-1.4660788774490356,0.27958768606185913,-0.3018421232700348,1.2590100765228271,0.6961961984634399,-0.09693227708339691,0.6908491849899292,-1.470337986946106,-1.0827016830444336,1.244303584098816,-0.46097198128700256,-1.2728384733200073,-2.461381673812866,-0.541398286819458,0.22831778228282928,2.170944929122925,0.48004618287086487,0.7136390805244446,-1.1573739051818848,-0.9401628375053406,1.7815475463867188,-0.6701295375823975,0.6635923981666565,0.2519291639328003,0.7741138339042664,-0.3279520273208618,-1.669860601425171,0.2550649344921112,0.5339418649673462,0.37689536809921265,0.6554282903671265,-0.6071409583091736,0.3436664938926697,-0.1885933130979538,2.594961404800415,0.06581896543502808,-0.34085702896118164,0.46926239132881165,1.0899505615234375,0.07952462136745453,-0.548009991645813,1.003731608390808,0.7034745216369629,0.9631036520004272,-0.2782762944698334,-0.5565545558929443,0.021674100309610367,0.3871162235736847,-2.0155274868011475,0.920874834060669,-0.9968376755714417,-0.5310917496681213,-0.6601436138153076,2.0678176879882812,0.43962761759757996,1.5353869199752808,0.1808794140815735,-0.6958885192871094,-0.280444473028183,0.6250683069229126,0.13518047332763672,-1.4191373586654663,1.1374741792678833,-1.8449822664260864,-0.9188146591186523,1.0245002508163452,-0.7799813151359558,3.3885884284973145,0.6094368100166321,1.5900940895080566,-0.8071735501289368,1.255470871925354,-1.3539215326309204,-0.8413050770759583,-0.718399167060852,0.49199536442756653,0.7702529430389404,-0.45065954327583313,-0.8870075941085815,0.758643627166748,0.28818634152412415,-1.0452184677124023,-0.1639440357685089,1.3296023607254028,-0.024922803044319153,0.05999487638473511,0.8669632077217102,-1.4985297918319702,-0.6593947410583496,0.010117961093783379,1.2350972890853882,-0.9679980874061584,0.798583447933197,0.21756374835968018,-2.270336389541626,-0.8705140352249146,-0.5984002947807312,-0.647732675075531,-0.7776197195053101,0.45824453234672546,-1.837124228477478,0.6458495855331421,-1.2853214740753174,0.17200365662574768,1.205330729484558,-3.1882948875427246,-1.9513903856277466,-1.3990635871887207,-0.6711000204086304,2.4690968990325928,0.5652696490287781,-0.3657022714614868,1.8292131423950195,0.6790267825126648,-1.5788272619247437,-1.7675410509109497,0.353658527135849,0.22037695348262787,-0.5387080907821655,-0.27714547514915466,1.4452399015426636,0.33516696095466614,1.6461703777313232,-0.22491410374641418,-0.13685141503810883,-0.3912293314933777,0.26332008838653564,0.9344271421432495"
11,4o_DA,"-0.6553031206130981,1.5432220697402954,-0.1045457273721695,2.864687919616699,1.2074309587478638,-2.6526079177856445,0.201538547873497,-0.7171354293823242,-0.34128841757774353,1.5762410163879395,0.44612371921539307,-1.38008713722229,-0.5510461926460266,-1.7996805906295776,0.945283055305481,-0.94930499792099,-0.054461270570755005,0.924959659576416,-1.441087007522583,-0.4705866873264313,-0.6139271259307861,0.6888795495033264,0.07378165423870087,0.6619218587875366,0.9533634185791016,-0.7549910545349121,-0.9889556765556335,2.737874984741211,0.25928807258605957,0.034232787787914276,0.6732355356216431,-1.998834252357483,0.2687446177005768,-0.6560142040252686,0.271471232175827,0.10130076110363007,-0.6208046674728394,-0.7775569558143616,-2.2891244888305664,-0.28007611632347107,-1.4785174131393433,-0.12240658700466156,1.3274480104446411,1.1238539218902588,1.1741183996200562,0.051500104367733,0.5683474540710449,1.5915309190750122,-0.6556068062782288,0.7922968864440918,-0.37048274278640747,0.5816307663917542,-0.43562278151512146,1.8906025886535645,-2.253657817840576,2.0476036071777344,0.4787929952144623,-0.7230160236358643,-0.6174078583717346,0.4236222207546234,-0.9612829089164734,-0.3113832473754883,0.7807216644287109,-0.8068240880966187,0.4369485080242157,-0.08683353662490845,-1.143569827079773,0.9781896471977234,-0.6581848859786987,0.06378546357154846,-0.31085076928138733,-1.0826046466827393,-0.10681797564029694,-0.7467646598815918,-2.093426465988159,-0.1969299018383026,1.734472393989563,-0.9291050434112549,-1.2279303073883057,0.83409583568573,1.273400902748108,-0.42692649364471436,0.4742068946361542,0.8948758244514465,0.6972675919532776,-0.9614142179489136,-0.09185254573822021,-0.1742134392261505,1.474981427192688,-0.13877978920936584,-0.2920666038990021,0.1602194458246231,1.6702526807785034,1.5703259706497192,-1.0938525199890137,-2.113454580307007,-1.304142951965332,-0.47303271293640137,-0.3862842321395874,-0.05065041780471802,0.9853036999702454,0.5335215330123901,1.7683473825454712,-0.7384153604507446,0.26958993077278137,0.4689841866493225,-1.4163988828659058,-0.6639993190765381,0.1744498461484909,0.37053003907203674,-0.3054942488670349,0.5738076567649841,-1.2795037031173706,2.7514536380767822,0.9912999868392944,-0.878002405166626,0.22035759687423706,-1.2939532995224,0.49283912777900696,1.8710525035858154,0.9456754922866821,0.02700486034154892,-1.3864260911941528,0.7442063093185425,0.5632367134094238,0.5354923605918884,1.780838966369629,1.577008605003357"
11,4o_DB,"-0.11847482621669769,1.1531141996383667,0.5912577509880066,3.294809579849243,2.435288906097412,-0.5350544452667236,1.5488080978393555,-0.7725034952163696,-0.43149441480636597,1.9372859001159668,0.32580840587615967,-0.8007200360298157,0.1898447722196579,-1.148830533027649,0.7394373416900635,0.3171895146369934,-0.15792514383792877,0.8724762797355652,-1.1850398778915405,-0.799172580242157,-1.9656530618667603,1.3516995906829834,0.049408480525016785,-0.4489842355251312,0.8755004405975342,-0.3947717547416687,0.631913959980011,1.5292088985443115,-0.6933711171150208,-0.8758212924003601,1.0585672855377197,-2.4804160594940186,0.8078258037567139,-1.4121171236038208,0.5019049048423767,0.2038799524307251,-0.022233540192246437,-1.2873611450195312,-0.891293466091156,-1.4460538625717163,-0.9487431049346924,-0.11256533861160278,0.9350539445877075,0.4806913733482361,1.7489384412765503,-0.5944832563400269,-1.0995508432388306,0.7121553421020508,0.4595540165901184,0.9706252813339233,0.728715717792511,-0.2852495014667511,-0.04756291210651398,1.3640445470809937,-0.77415931224823,1.1780363321304321,0.798290491104126,-2.3282365798950195,0.47342154383659363,-0.002743273973464966,-0.5305973887443542,0.30233705043792725,2.1512985229492188,-0.440368115901947,0.29508858919143677,-0.5648542642593384,-1.6800384521484375,0.5359092354774475,-1.447102665901184,1.3113994598388672,-1.201221227645874,-0.5110211372375488,-1.3880301713943481,-0.906276524066925,0.24196386337280273,0.1839262992143631,0.11023813486099243,0.9220038652420044,0.3592919707298279,1.7963364124298096,0.5950782895088196,1.1082613468170166,-0.36206942796707153,0.025349533185362816,1.3251532316207886,-0.5834629535675049,-0.15569916367530823,0.8169985413551331,0.6515580415725708,-0.6741370558738708,-0.7101664543151855,1.8172895908355713,1.518642783164978,1.2445859909057617,-0.8441560864448547,-2.522679567337036,-1.455845594406128,-1.0360751152038574,0.6888131499290466,0.5319366455078125,0.1422138661146164,0.5745384097099304,0.3022119402885437,-1.409864902496338,0.9272474646568298,0.7812343835830688,-2.19907546043396,0.10029458999633789,-1.0257740020751953,0.2088119387626648,-0.3346090316772461,1.4869061708450317,-1.390777587890625,1.3611127138137817,0.2864067554473877,0.8979864120483398,0.10013940185308456,-0.48007309436798096,-0.3866485059261322,1.6797831058502197,0.9061796069145203,-1.4475538730621338,0.7682746648788452,0.9178231358528137,1.0385754108428955,-0.288141131401062,1.114390254020691,0.8924025297164917"
11,4o_MA,"-0.49290958046913147,-0.19618099927902222,0.9341915249824524,2.9452083110809326,2.1288764476776123,-2.8943722248077393,0.5677241086959839,-0.8435539603233337,-0.9685263633728027,0.6527659893035889,-0.7642108201980591,-0.7684337496757507,0.2954338788986206,-2.0844101905822754,0.6916314363479614,0.1278344839811325,0.6117538213729858,-0.19681468605995178,-2.2211222648620605,-0.36638081073760986,-0.5981611013412476,1.5427675247192383,0.04926210641860962,0.4624190330505371,-0.9947646260261536,-0.9564153552055359,-0.5081810355186462,2.4484872817993164,0.22642013430595398,0.7771517038345337,0.9041162729263306,-1.7384554147720337,-0.5611734986305237,-1.2125136852264404,0.520201563835144,0.7752408385276794,-1.1116154193878174,-0.7536482214927673,-2.7178473472595215,0.9269808530807495,-2.0719990730285645,0.5462673902511597,1.1366093158721924,1.2191466093063354,2.3379459381103516,0.12762652337551117,1.4799751043319702,1.829967737197876,-0.2740539610385895,1.292508602142334,-1.1078126430511475,-0.7838557362556458,-0.9301744699478149,1.275854468345642,-1.400070309638977,0.608676016330719,-0.5782730579376221,0.5697544813156128,-0.5910901427268982,0.9599360227584839,-2.04274582862854,-1.0636848211288452,0.021106619387865067,-0.8541768789291382,-1.0504580736160278,0.8160430192947388,-1.0085742473602295,1.9213212728500366,-0.5058539509773254,0.3879319429397583,-0.7484590411186218,-0.21763429045677185,0.2311113327741623,-0.3040764331817627,-1.8423274755477905,0.2086150348186493,0.08595430850982666,-0.12141326069831848,-1.2454663515090942,0.7176744341850281,-0.4891035258769989,-0.7734450101852417,0.11326125264167786,0.8225694298744202,-0.2883782684803009,-1.447706937789917,1.0895212888717651,-1.152135968208313,0.913074254989624,-0.8196666836738586,0.8502926826477051,1.1067917346954346,0.7381874322891235,-0.2564345896244049,-0.5692717432975769,-1.4072327613830566,-1.5820404291152954,-0.23416611552238464,0.4371003210544586,0.35837000608444214,1.1345617771148682,0.7720128297805786,0.09386224299669266,-1.155526041984558,0.8602773547172546,-0.9238175749778748,-0.6298121809959412,-1.301663875579834,0.2605111300945282,-0.3070758283138275,0.03422638773918152,-0.42302483320236206,0.04752914607524872,2.29170560836792,0.5852690935134888,0.2879292964935303,0.41658473014831543,-0.42219436168670654,-0.7872058749198914,1.1438416242599487,1.0235841274261475,-0.48029884696006775,-1.4009544849395752,-0.4023120403289795,0.32097411155700684,-0.24555304646492004,0.4413084387779236,0.34586942195892334"
11,4o_MB,"-0.4083782732486725,0.5252516269683838,0.12005514651536942,2.5121889114379883,2.4438183307647705,-2.5650527477264404,0.2503454089164734,-0.9812321066856384,0.633223831653595,-0.522942841053009,-1.2236456871032715,-1.47175133228302,0.1637686789035797,-0.9858447313308716,0.37978893518447876,-0.45080775022506714,0.16045422852039337,0.31087571382522583,-2.5435285568237305,0.690078854560852,-0.5145316123962402,2.063943862915039,0.1375075876712799,0.20202842354774475,-0.8869267106056213,1.0785924196243286,-1.359540343284607,0.8581271171569824,1.6448780298233032,0.21319182217121124,0.35926946997642517,-1.2926267385482788,-1.2431085109710693,-1.1131396293640137,0.32418346405029297,1.7020491361618042,-1.3018832206726074,0.020438887178897858,-1.0173945426940918,-0.4135206639766693,-0.4499596357345581,1.180687427520752,0.5369623899459839,-0.305794894695282,1.4174071550369263,0.586726188659668,1.2032315731048584,0.313495010137558,-1.9932911396026611,1.6344610452651978,-1.3212947845458984,0.4293285012245178,-1.3844352960586548,0.9878000020980835,-1.4067635536193848,-0.3724602162837982,-0.11656679213047028,-0.6719508767127991,0.3602876365184784,0.735237717628479,-0.4734140932559967,-1.5776935815811157,0.5342875123023987,-0.35469838976860046,-1.2597326040267944,1.5802081823349,-0.25155872106552124,1.7232352495193481,1.1335656642913818,-0.0027115908451378345,-1.130087971687317,-0.13264480233192444,-0.4512919485569,-0.713164746761322,-1.2142266035079956,0.6987485289573669,-0.6895354986190796,-1.4614193439483643,-0.4116467535495758,-0.8126537203788757,0.4190349280834198,-0.352203905582428,-0.1610783189535141,1.6471197605133057,-0.2727715075016022,-0.9577339887619019,1.2560241222381592,-0.42598241567611694,0.05212630331516266,-0.15739433467388153,0.8247418999671936,1.1512742042541504,1.2741248607635498,-0.44831791520118713,-2.0153613090515137,-0.6565653085708618,-1.0389246940612793,0.2919468581676483,-0.3440316617488861,-0.32850581407546997,-0.19614101946353912,0.8716161251068115,-0.7206157445907593,-0.9252699017524719,1.4414530992507935,-0.28631478548049927,-0.9486936926841736,-0.6884901523590088,-0.46930527687072754,0.7612121105194092,0.7828300595283508,0.26899683475494385,0.47090283036231995,1.8301689624786377,0.9199557900428772,0.13237689435482025,-1.7020416259765625,-1.0978660583496094,0.04827401041984558,0.975050151348114,0.6021620035171509,0.503226101398468,-1.119964599609375,-0.8189823031425476,0.16792871057987213,-0.9849843382835388,0.9017613530158997,0.01018919050693512"
12,4o_DA,"0.3137126564979553,0.7547242641448975,-0.3945625126361847,2.13474440574646,1.5105397701263428,-1.6574139595031738,0.8527886867523193,0.38196614384651184,0.47138711810112,-0.5568206906318665,-0.06695421040058136,-1.572904109954834,0.7204436659812927,-0.6743415594100952,1.2149673700332642,1.5871394872665405,0.3496408462524414,0.08740673959255219,-1.9970030784606934,2.2965989112854004,-0.5178675651550293,2.6651253700256348,0.7187516093254089,-0.3412928879261017,-1.6353789567947388,-0.03010427951812744,0.3942635655403137,-0.42440497875213623,-0.6630811095237732,2.100132942199707,-1.071474552154541,0.3640941381454468,-1.8736560344696045,-0.2284931242465973,1.120871901512146,0.8182882070541382,0.34237563610076904,0.3399803936481476,-0.9560365080833435,1.4231925010681152,-0.015412060543894768,0.30167707800865173,1.0887423753738403,-0.11020759493112564,0.8477977514266968,-0.03786787390708923,1.1696174144744873,-1.1042170524597168,-0.8980569243431091,2.584062337875366,-0.7865080833435059,0.05155026912689209,0.4753243625164032,1.116067886352539,-1.5226486921310425,-2.618561267852783,-1.7529407739639282,0.3420809805393219,-0.9715315699577332,-0.8218007683753967,-0.7601496577262878,-0.4587615728378296,0.025203153491020203,-1.4117933511734009,-1.3691376447677612,-0.19726108014583588,0.8222495913505554,1.007089376449585,-0.3724271357059479,0.3659074604511261,0.5196927189826965,-0.01648259162902832,1.0114290714263916,-0.7580570578575134,-1.3115991353988647,0.1665486991405487,-0.009662888944149017,-0.5338211059570312,-1.0548009872436523,-1.159273386001587,0.34294435381889343,-0.35268935561180115,-0.42071253061294556,1.809165120124817,-0.18017220497131348,-0.5051999688148499,1.0760447978973389,-1.806183099746704,0.07469461858272552,-1.4612492322921753,0.14544542133808136,0.3466760516166687,-0.046038918197155,-0.08638402819633484,-1.8580938577651978,-0.49822065234184265,0.2881142199039459,0.26823633909225464,-1.2018251419067383,0.026628194376826286,0.6212111711502075,0.9378691911697388,-1.4503782987594604,-1.0563026666641235,0.4571108818054199,-0.22032377123832703,-0.21000206470489502,-0.6286096572875977,-0.671229898929596,2.514397144317627,1.099204421043396,0.4484253525733948,2.2588605880737305,0.8143949508666992,-0.6256900429725647,-1.0931575298309326,-2.3698720932006836,-2.3980298042297363,-1.3850352764129639,-0.35330528020858765,0.07950428128242493,-0.6742455959320068,-1.0359408855438232,-1.5388047695159912,-0.4488102197647095,0.01575382798910141,-0.18103398382663727,0.5812524557113647"
12,4o_DB,"-0.021188892424106598,0.014146879315376282,-1.2258667945861816,3.0145485401153564,2.217224359512329,-2.6523382663726807,1.207719326019287,-0.9881506562232971,0.023795031011104584,0.38282445073127747,-2.1726231575012207,-0.9562229514122009,1.1319694519042969,-1.852990746498108,0.6750860214233398,-0.06797115504741669,0.05724051594734192,-0.8635901808738708,-1.809804081916809,0.19054222106933594,-0.15103624761104584,1.6130324602127075,-0.19314992427825928,-0.1677320897579193,-0.26098334789276123,1.1799776554107666,1.6270350217819214,0.3976764976978302,1.0046337842941284,1.3868238925933838,-0.5483460426330566,0.06578550487756729,-0.5423995852470398,-0.6570841670036316,0.01674540527164936,0.6616689562797546,-2.1803464889526367,-0.720562756061554,-1.502168893814087,-0.3823096752166748,-0.46005964279174805,1.1877888441085815,-0.11222828924655914,0.9222193956375122,1.6776509284973145,-0.04597429931163788,0.8579627275466919,0.8334450721740723,-0.751732587814331,0.6238490343093872,-0.7808032035827637,0.29745155572891235,-1.712673544883728,1.7841989994049072,-0.21843062341213226,-1.7652126550674438,-1.3598315715789795,-0.3233678638935089,-0.5356948375701904,-0.07841064780950546,-2.125265598297119,-2.5042736530303955,0.4447825253009796,-2.1381258964538574,-0.7950600385665894,0.817834734916687,-1.7331342697143555,1.7961922883987427,-0.28408870100975037,0.37413889169692993,-0.1934814602136612,-0.019978567957878113,-0.4958230257034302,-0.37616944313049316,-1.1532469987869263,-0.379116028547287,0.12576599419116974,0.09514765441417694,0.4273186922073364,-0.38496774435043335,-0.23430320620536804,0.22426828742027283,0.2278386503458023,1.085504174232483,-0.3966241180896759,0.16858306527137756,0.7462064623832703,-2.0104548931121826,-0.3563489019870758,-1.0752238035202026,1.3313356637954712,1.5494732856750488,1.0628446340560913,-0.5762860178947449,-1.4397528171539307,-0.40456852316856384,-0.5960350036621094,0.42496371269226074,-1.0617377758026123,-0.09278397262096405,-0.17710089683532715,0.7497820854187012,-0.17050579190254211,-0.07689215987920761,-0.11776439100503922,-0.35047346353530884,-0.9888661503791809,-0.7972320318222046,-1.2708933353424072,1.3865625858306885,-0.30768853425979614,-0.4466232657432556,0.4637064039707184,0.8262582421302795,1.077622413635254,0.3816985487937927,-1.9722076654434204,-1.166759967803955,0.5755869150161743,0.02542693167924881,1.436220407485962,0.44666504859924316,-0.7502566576004028,-0.45671701431274414,-0.05076073855161667,-0.21236857771873474,0.544577419757843,1.0793784856796265"
