pid,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
23,0.9999999997637624,1.6397589472593625e-33,1.51455739356797e-16,3.630653871950314e-17,2.154072364506349e-22,1.2185034412301687e-34,1.3049709549480667e-24,9.066634120520025e-17,1.0874618801693571e-37,2.5753202836767626e-26
24,3.005362363072255e-38,0.9999999997433029,2.6944792488176075e-64,1.4553705841670573e-52,1.3842405688861713e-50,2.2051198756352874e-55,1.122728344457618e-59,8.233363937774498e-43,2.4201367763176603e-43,4.204212726357582e-38
25,1.6406107274224677e-30,1.1829182289776833e-29,2.7616729787026683e-33,0.9999999998092726,2.8751460845104895e-49,1.2833527245560666e-37,6.375107446446358e-56,4.891585424703657e-15,3.127341171278383e-42,3.1382146806588797e-37
26,9.399691847236325e-20,1.555631402026193e-08,1.2806263352302046e-12,1.466540861458571e-28,9.469518841627528e-23,0.7428688958258783,5.442051153020153e-30,1.6422208741553997e-14,0.25713108839243537,5.260382255956391e-24
27,1.2964979653810102e-43,1.241472835268937e-48,1.8566547423077836e-37,2.2981289652677464e-49,0.9999999997108958,5.699477141050116e-40,3.186808924594977e-33,1.2225456501868677e-27,4.538512612280857e-83,1.83056629888391e-39
28,2.2730831354818675e-37,1.3364866422570495e-16,1.1700948250703256e-44,5.0877548465986115e-43,1.0542708554105811e-15,0.9999999996745954,4.67874424080761e-48,1.741813046647455e-12,5.022643118834057e-32,4.7513174962540084e-51
29,7.052346011007042e-51,0.9999999997592428,6.02122941135491e-33,2.3217276020940645e-39,2.6089669642940985e-30,7.14114803300516e-46,4.968714464147715e-59,5.170120431344504e-22,6.503398933420444e-37,1.4129427458277409e-68
30,1.9127414146802416e-54,3.0763483641117705e-77,9.383476442714816e-52,0.9999999996357642,3.436518863684058e-76,1.1549029198940955e-36,1.026196642205254e-69,7.593548862840758e-32,5.901695206340535e-79,2.315294027283125e-77
31,1.0215833568101057e-30,1.5663209889958027e-27,0.9999999997570996,5.3238986941025364e-43,2.0833985873676248e-36,1.7891514197719987e-21,1.9853266496275466e-37,7.826250894695643e-53,4.0033733059434895e-31,1.6547188938113036e-25
32,1.6153127836720486e-49,1.3092300572808586e-47,1.9517458093337763e-52,3.0998373498322536e-86,0.9999999996710798,7.015581757450865e-52,3.1599753011134988e-65,1.7483936393901627e-53,9.907357037711718e-26,1.5708298930664068e-45
33,7.374008176288088e-27,3.180070941072733e-18,1.055649644005963e-30,5.988498975819016e-42,0.9999999997081314,2.1072163814984393e-44,5.5827057870339174e-39,6.999637468266153e-81,1.433956731769749e-31,7.013074425558623e-38
34,3.348817849767892e-24,1.8309423308378228e-29,0.9999999855080219,6.8547117618452255e-28,5.289191831162437e-47,1.6850900371568556e-33,4.002915099072254e-15,1.4277942529202447e-08,3.432778537536305e-24,4.917675068759096e-27
35,4.98887779005455e-30,4.2857116761339794e-76,4.275046406824957e-42,2.8138538138327985e-70,2.39107678448334e-27,2.2131517238663273e-28,1.618655207077722e-32,2.4465109970788223e-42,8.609657619392326e-25,0.9999999997515918
36,2.3188041555927354e-42,1.6347746806186567e-05,7.71247737688245e-34,1.1375320788209598e-41,2.5816166131319364e-50,5.139432662603007e-32,1.6618764647619538e-20,4.143127617134269e-27,0.999983651980732,5.357711826451222e-62
37,0.9999904864153838,4.214373850634502e-27,1.2749458117261338e-22,1.8204992982900403e-27,6.4826926658598945e-31,1.0376043598782763e-28,3.972939955320869e-24,1.0779122885629475e-18,1.5117378198345072e-14,9.513391572481039e-06
38,2.9656998861982044e-34,1.3844875148023702e-62,3.795997996196323e-49,8.29539579101767e-39,1.1444690607478057e-57,5.075201169523415e-61,0.9999999998336204,3.825663297567755e-49,2.750746570405824e-50,1.0107957558185382e-43
39,0.6928615716585185,1.1156637195825e-21,2.273768275879712e-08,6.444724487932135e-16,1.4874529501075695e-41,1.9558506684551425e-06,0.30713644957266534,5.999124783457651e-36,3.700436368536669e-18,2.4190869515646214e-31
40,1.277191010779715e-56,4.997679834615156e-132,6.531396569521747e-53,9.432734409657443e-51,8.658923726091247e-52,0.9999999996701036,3.0547901293188494e-22,2.125794229322776e-23,5.455058635693439e-41,6.044172241910074e-40
